Line 1: Registers: Opcode=0031, A=0000, BC=0000, DE=0000, HL=0000, SP=fffe, PC=0003, --------
Line 2: Registers: Opcode=00af, A=0000, BC=0000, DE=0000, HL=0000, SP=fffe, PC=0004, Z-------
Line 3: Registers: Opcode=0021, A=0000, BC=0000, DE=0000, HL=9fff, SP=fffe, PC=0007, Z-------
Line 4: Registers: Opcode=0032, A=0000, BC=0000, DE=0000, HL=9ffe, SP=fffe, PC=0008, Z-------
Line 5: Registers: Opcode=007c, A=0000, BC=0000, DE=0000, HL=9ffe, SP=fffe, PC=000a, --H-----
Line 6: Registers: Opcode=0020, A=0000, BC=0000, DE=0000, HL=9ffe, SP=fffe, PC=0007, --H-----
Line 7: Registers: Opcode=0032, A=0000, BC=0000, DE=0000, HL=9ffd, SP=fffe, PC=0008, --H-----
Line 8: Registers: Opcode=007c, A=0000, BC=0000, DE=0000, HL=9ffd, SP=fffe, PC=000a, --H-----
Line 9: Registers: Opcode=0020, A=0000, BC=0000, DE=0000, HL=9ffd, SP=fffe, PC=0007, --H-----
Line 10: Registers: Opcode=0032, A=0000, BC=0000, DE=0000, HL=9ffc, SP=fffe, PC=0008, --H-----
Line 11: Registers: Opcode=007c, A=0000, BC=0000, DE=0000, HL=9ffc, SP=fffe, PC=000a, --H-----
Line 12: Registers: Opcode=0020, A=0000, BC=0000, DE=0000, HL=9ffc, SP=fffe, PC=0007, --H-----
Line 13: Registers: Opcode=0032, A=0000, BC=0000, DE=0000, HL=9ffb, SP=fffe, PC=0008, --H-----
Line 14: Registers: Opcode=007c, A=0000, BC=0000, DE=0000, HL=9ffb, SP=fffe, PC=000a, --H-----
Line 15: Registers: Opcode=0020, A=0000, BC=0000, DE=0000, HL=9ffb, SP=fffe, PC=0007, --H-----
Line 16: Registers: Opcode=0032, A=0000, BC=0000, DE=0000, HL=9ffa, SP=fffe, PC=0008, --H-----
Line 17: Registers: Opcode=007c, A=0000, BC=0000, DE=0000, HL=9ffa, SP=fffe, PC=000a, --H-----
Line 18: Registers: Opcode=0020, A=0000, BC=0000, DE=0000, HL=9ffa, SP=fffe, PC=0007, --H-----
Line 19: Registers: Opcode=0032, A=0000, BC=0000, DE=0000, HL=9ff9, SP=fffe, PC=0008, --H-----
Line 20: Registers: Opcode=007c, A=0000, BC=0000, DE=0000, HL=9ff9, SP=fffe, PC=000a, --H-----
Line 21: Registers: Opcode=0020, A=0000, BC=0000, DE=0000, HL=9ff9, SP=fffe, PC=0007, --H-----
Line 22: Registers: Opcode=0032, A=0000, BC=0000, DE=0000, HL=9ff8, SP=fffe, PC=0008, --H-----
Line 23: Registers: Opcode=007c, A=0000, BC=0000, DE=0000, HL=9ff8, SP=fffe, PC=000a, --H-----
Line 24: Registers: Opcode=0020, A=0000, BC=0000, DE=0000, HL=9ff8, SP=fffe, PC=0007, --H-----
Line 25: Registers: Opcode=0032, A=0000, BC=0000, DE=0000, HL=9ff7, SP=fffe, PC=0008, --H-----
Line 26: Registers: Opcode=007c, A=0000, BC=0000, DE=0000, HL=9ff7, SP=fffe, PC=000a, --H-----
Line 27: Registers: Opcode=0020, A=0000, BC=0000, DE=0000, HL=9ff7, SP=fffe, PC=0007, --H-----
Line 28: Registers: Opcode=0032, A=0000, BC=0000, DE=0000, HL=9ff6, SP=fffe, PC=0008, --H-----
Line 29: Registers: Opcode=007c, A=0000, BC=0000, DE=0000, HL=9ff6, SP=fffe, PC=000a, --H-----
Line 30: Registers: Opcode=0020, A=0000, BC=0000, DE=0000, HL=9ff6, SP=fffe, PC=0007, --H-----
Line 31: Registers: Opcode=0032, A=0000, BC=0000, DE=0000, HL=9ff5, SP=fffe, PC=0008, --H-----
Line 32: Registers: Opcode=007c, A=0000, BC=0000, DE=0000, HL=9ff5, SP=fffe, PC=000a, --H-----
Line 33: Registers: Opcode=0020, A=0000, BC=0000, DE=0000, HL=9ff5, SP=fffe, PC=0007, --H-----
Line 34: Registers: Opcode=0032, A=0000, BC=0000, DE=0000, HL=9ff4, SP=fffe, PC=0008, --H-----
Line 35: Registers: Opcode=007c, A=0000, BC=0000, DE=0000, HL=9ff4, SP=fffe, PC=000a, --H-----
Line 36: Registers: Opcode=0020, A=0000, BC=0000, DE=0000, HL=9ff4, SP=fffe, PC=0007, --H-----
Line 37: Registers: Opcode=0032, A=0000, BC=0000, DE=0000, HL=9ff3, SP=fffe, PC=0008, --H-----
Line 38: Registers: Opcode=007c, A=0000, BC=0000, DE=0000, HL=9ff3, SP=fffe, PC=000a, --H-----
Line 39: Registers: Opcode=0020, A=0000, BC=0000, DE=0000, HL=9ff3, SP=fffe, PC=0007, --H-----
Line 40: Registers: Opcode=0032, A=0000, BC=0000, DE=0000, HL=9ff2, SP=fffe, PC=0008, --H-----
Line 41: Registers: Opcode=007c, A=0000, BC=0000, DE=0000, HL=9ff2, SP=fffe, PC=000a, --H-----
Line 42: Registers: Opcode=0020, A=0000, BC=0000, DE=0000, HL=9ff2, SP=fffe, PC=0007, --H-----
Line 43: Registers: Opcode=0032, A=0000, BC=0000, DE=0000, HL=9ff1, SP=fffe, PC=0008, --H-----
Line 44: Registers: Opcode=007c, A=0000, BC=0000, DE=0000, HL=9ff1, SP=fffe, PC=000a, --H-----
Line 45: Registers: Opcode=0020, A=0000, BC=0000, DE=0000, HL=9ff1, SP=fffe, PC=0007, --H-----
Line 46: Registers: Opcode=0032, A=0000, BC=0000, DE=0000, HL=9ff0, SP=fffe, PC=0008, --H-----
Line 47: Registers: Opcode=007c, A=0000, BC=0000, DE=0000, HL=9ff0, SP=fffe, PC=000a, --H-----
Line 48: Registers: Opcode=0020, A=0000, BC=0000, DE=0000, HL=9ff0, SP=fffe, PC=0007, --H-----
Line 49: Registers: Opcode=0032, A=0000, BC=0000, DE=0000, HL=9fef, SP=fffe, PC=0008, --H-----
Line 50: Registers: Opcode=007c, A=0000, BC=0000, DE=0000, HL=9fef, SP=fffe, PC=000a, --H-----
Line 51: Registers: Opcode=0020, A=0000, BC=0000, DE=0000, HL=9fef, SP=fffe, PC=0007, --H-----
Line 52: Registers: Opcode=0032, A=0000, BC=0000, DE=0000, HL=9fee, SP=fffe, PC=0008, --H-----
Line 53: Registers: Opcode=007c, A=0000, BC=0000, DE=0000, HL=9fee, SP=fffe, PC=000a, --H-----
Line 54: Registers: Opcode=0020, A=0000, BC=0000, DE=0000, HL=9fee, SP=fffe, PC=0007, --H-----
Line 55: Registers: Opcode=0032, A=0000, BC=0000, DE=0000, HL=9fed, SP=fffe, PC=0008, --H-----
Line 56: Registers: Opcode=007c, A=0000, BC=0000, DE=0000, HL=9fed, SP=fffe, PC=000a, --H-----
Line 57: Registers: Opcode=0020, A=0000, BC=0000, DE=0000, HL=9fed, SP=fffe, PC=0007, --H-----
Line 58: Registers: Opcode=0032, A=0000, BC=0000, DE=0000, HL=9fec, SP=fffe, PC=0008, --H-----
Line 59: Registers: Opcode=007c, A=0000, BC=0000, DE=0000, HL=9fec, SP=fffe, PC=000a, --H-----
Line 60: Registers: Opcode=0020, A=0000, BC=0000, DE=0000, HL=9fec, SP=fffe, PC=0007, --H-----
Line 61: Registers: Opcode=0032, A=0000, BC=0000, DE=0000, HL=9feb, SP=fffe, PC=0008, --H-----
Line 62: Registers: Opcode=007c, A=0000, BC=0000, DE=0000, HL=9feb, SP=fffe, PC=000a, --H-----
Line 63: Registers: Opcode=0020, A=0000, BC=0000, DE=0000, HL=9feb, SP=fffe, PC=0007, --H-----
Line 64: Registers: Opcode=0032, A=0000, BC=0000, DE=0000, HL=9fea, SP=fffe, PC=0008, --H-----
Line 65: Registers: Opcode=007c, A=0000, BC=0000, DE=0000, HL=9fea, SP=fffe, PC=000a, --H-----
Line 66: Registers: Opcode=0020, A=0000, BC=0000, DE=0000, HL=9fea, SP=fffe, PC=0007, --H-----
Line 67: Registers: Opcode=0032, A=0000, BC=0000, DE=0000, HL=9fe9, SP=fffe, PC=0008, --H-----
Line 68: Registers: Opcode=007c, A=0000, BC=0000, DE=0000, HL=9fe9, SP=fffe, PC=000a, --H-----
Line 69: Registers: Opcode=0020, A=0000, BC=0000, DE=0000, HL=9fe9, SP=fffe, PC=0007, --H-----
Line 70: Registers: Opcode=0032, A=0000, BC=0000, DE=0000, HL=9fe8, SP=fffe, PC=0008, --H-----
Line 71: Registers: Opcode=007c, A=0000, BC=0000, DE=0000, HL=9fe8, SP=fffe, PC=000a, --H-----
Line 72: Registers: Opcode=0020, A=0000, BC=0000, DE=0000, HL=9fe8, SP=fffe, PC=0007, --H-----
Line 73: Registers: Opcode=0032, A=0000, BC=0000, DE=0000, HL=9fe7, SP=fffe, PC=0008, --H-----
Line 74: Registers: Opcode=007c, A=0000, BC=0000, DE=0000, HL=9fe7, SP=fffe, PC=000a, --H-----
Line 75: Registers: Opcode=0020, A=0000, BC=0000, DE=0000, HL=9fe7, SP=fffe, PC=0007, --H-----
Line 76: Registers: Opcode=0032, A=0000, BC=0000, DE=0000, HL=9fe6, SP=fffe, PC=0008, --H-----
Line 77: Registers: Opcode=007c, A=0000, BC=0000, DE=0000, HL=9fe6, SP=fffe, PC=000a, --H-----
Line 78: Registers: Opcode=0020, A=0000, BC=0000, DE=0000, HL=9fe6, SP=fffe, PC=0007, --H-----
Line 79: Registers: Opcode=0032, A=0000, BC=0000, DE=0000, HL=9fe5, SP=fffe, PC=0008, --H-----
Line 80: Registers: Opcode=007c, A=0000, BC=0000, DE=0000, HL=9fe5, SP=fffe, PC=000a, --H-----
Line 81: Registers: Opcode=0020, A=0000, BC=0000, DE=0000, HL=9fe5, SP=fffe, PC=0007, --H-----
Line 82: Registers: Opcode=0032, A=0000, BC=0000, DE=0000, HL=9fe4, SP=fffe, PC=0008, --H-----
Line 83: Registers: Opcode=007c, A=0000, BC=0000, DE=0000, HL=9fe4, SP=fffe, PC=000a, --H-----
Line 84: Registers: Opcode=0020, A=0000, BC=0000, DE=0000, HL=9fe4, SP=fffe, PC=0007, --H-----
Line 85: Registers: Opcode=0032, A=0000, BC=0000, DE=0000, HL=9fe3, SP=fffe, PC=0008, --H-----
Line 86: Registers: Opcode=007c, A=0000, BC=0000, DE=0000, HL=9fe3, SP=fffe, PC=000a, --H-----
Line 87: Registers: Opcode=0020, A=0000, BC=0000, DE=0000, HL=9fe3, SP=fffe, PC=0007, --H-----
Line 88: Registers: Opcode=0032, A=0000, BC=0000, DE=0000, HL=9fe2, SP=fffe, PC=0008, --H-----
Line 89: Registers: Opcode=007c, A=0000, BC=0000, DE=0000, HL=9fe2, SP=fffe, PC=000a, --H-----
Line 90: Registers: Opcode=0020, A=0000, BC=0000, DE=0000, HL=9fe2, SP=fffe, PC=0007, --H-----
Line 91: Registers: Opcode=0032, A=0000, BC=0000, DE=0000, HL=9fe1, SP=fffe, PC=0008, --H-----
Line 92: Registers: Opcode=007c, A=0000, BC=0000, DE=0000, HL=9fe1, SP=fffe, PC=000a, --H-----
Line 93: Registers: Opcode=0020, A=0000, BC=0000, DE=0000, HL=9fe1, SP=fffe, PC=0007, --H-----
Line 94: Registers: Opcode=0032, A=0000, BC=0000, DE=0000, HL=9fe0, SP=fffe, PC=0008, --H-----
Line 95: Registers: Opcode=007c, A=0000, BC=0000, DE=0000, HL=9fe0, SP=fffe, PC=000a, --H-----
